word    sentiment
😂	0.22
❤	0.75
♥	0.66
😍	0.68
😭	-0.09
😘	0.70
😊	0.64
👌	0.56
💕	0.63
👏	0.52
😁	0.45
☺	0.66
♡	0.67
👍	0.52
😩	-0.37
🙏	0.42
✌	0.46
😏	0.33
😉	0.46
🙌	0.56
🙈	0.43
💪	0.56
😄	0.42
😒	-0.37
💃	0.74
💖	0.71
😃	0.56
😔	-0.15
😱	0.19
🎉	0.74
😜	0.46
☯	0.00
🌸	0.65
💜	0.66
💙	0.73
✨	0.35
😳	0.02
💗	0.66
★	0.28
█	-0.03
☀	0.47
😡	-0.64
😎	0.49
😢	0.01
💋	0.69
😋	0.63
🙊	0.46
😴	-0.08
🎶	0.54
💞	0.74
😌	0.48
🔥	0.14
💯	0.12
🔫	-0.20
💛	0.71
💁	0.33
💚	0.66
♫	0.29
😞	-0.12
😆	0.41
😝	0.43
😪	-0.08
�	0.09
😫	-0.15
😅	0.18
👊	0.23
💀	-0.21
😀	0.57
😚	0.71
😻	0.62
©	0.12
👀	0.06
💘	0.69
🐓	0.03
☕	0.25
👋	0.42
✋	0.13
🎊	0.73
🍕	0.42
❄	0.51
😥	0.12
😕	-0.40
💥	0.15
💔	-0.12
😤	-0.21
😈	0.27
►	0.16
✈	0.42
🔝	0.48
😰	-0.02
⚽	0.62
😑	-0.31
👑	0.70
😹	0.14
👉	0.39
🍃	0.38
🎁	0.77
😠	-0.30
🐧	0.46
☆	0.43
🍀	0.29
🎈	0.73
🎅	0.32
😓	-0.08
😣	-0.21
😐	-0.39
✊	0.43
😨	-0.14
😖	-0.16
💤	0.37
💓	0.67
👎	-0.19
💦	0.48
✔	0.27
😷	-0.17
⚡	0.18
🙋	0.49
🎄	0.54
💩	-0.12
🎵	0.51
➡	0.15
😛	0.61
😬	0.20
👯	0.45
💎	0.57
🌿	0.39
🎂	0.62
🌟	0.33
🔮	0.27
❗	0.10
👫	0.26
🏆	0.74
✖	0.32
☝	0.31
😙	0.79
⛄	0.53
👅	0.47
♪	0.54
🍂	0.56
💏	0.39
🔪	0.07
🌴	0.53
👈	0.43
🌹	0.61
🙆	0.51
➜	0.16
👻	0.23
💰	0.26
🍻	0.52
🙅	-0.21
🌞	0.57
🍁	0.49
⭐	0.59
▪	0.20
🎀	0.64
━	0.18
☷	0.06
🐷	0.38
🙉	0.34
🌺	0.56
💅	0.40
🐶	0.59
🌚	0.47
👽	0.32
🎤	0.49
👭	0.47
🎧	0.42
👆	0.33
🍸	0.55
🍷	0.40
®	0.28
🍉	0.61
😇	0.60
☑	0.10
🏃	0.41
😿	-0.38
│	0.35
💣	0.01
🍺	0.50
▶	0.21
😲	-0.07
🎸	0.53
🍹	0.67
💫	0.51
📚	0.34
😶	-0.15
🌷	0.55
💝	0.66
💨	0.39
🏈	0.54
💍	0.49
☔	0.30
👸	0.62
🇪	0.63
░	-0.05
🍩	0.39
👾	0.37
☁	0.32
🌻	0.59
😵	0.09
📒	0.04
↿	0.67
🐯	0.49
👼	0.34
🍔	0.29
😸	0.42
👶	0.45
↾	0.67
💐	0.76
🌊	0.52
🍦	0.47
🍓	0.69
👇	0.26
💆	0.23
🍴	0.55
😧	-0.07
🇸	0.53
😮	0.28
▓	0.01
🚫	-0.45
😽	0.59
🌈	0.53
🙀	0.34
⚠	-0.07
🎮	0.44
╯	-0.01
🍆	0.42
🍰	0.46
✓	0.30
👐	-0.02
🙇	0.14
🍟	0.31
🍌	0.45
💑	0.68
👬	-0.06
🐣	0.49
🎃	0.62
▬	0.48
￼	-0.49
😟	0.07
🐾	0.63
🎓	0.58
🏊	0.60
🍫	0.16
📷	0.45
👄	0.49
🌼	0.81
🚶	-0.15
🐱	0.53
║	0.15
🐸	-0.08
🇺	0.56
👿	-0.56
🚬	0.54
✿	0.40
📖	0.18
🐒	0.54
🌍	0.62
┊	1.00
🐥	0.61
🌀	0.11
🐼	0.27
🎥	0.30
💄	0.45
💸	0.17
⛔	0.51
●	0.18
🏀	0.27
💉	0.38
💟	0.71
🚗	0.24
😯	0.13
📝	0.24
═	0.02
♦	0.48
💭	0.22
🌙	0.62
🐟	0.72
👣	0.36
☞	0.12
✂	-0.48
🗿	0.47
🍝	0.12
👪	-0.02
🍭	0.32
🌃	0.41
❌	0.29
🐰	0.62
💊	0.45
🚨	0.67
😦	-0.39
🍪	0.33
🍣	-0.25
╭	0.17
✧	0.34
🎆	0.75
╮	0.13
🎎	0.96
🇩	0.65
✅	0.43
