word	positive	neutral	negative
😂	0.4681025641025641	0.2847179487179487	0.24717948717948718
❤	0.7900161430522786	0.1657767291692537	0.04420712777846765
♥	0.6927382118371345	0.2718623198544844	0.035399468308381137
😍	0.7294875825212197	0.21864193649795663	0.05187048098082364
😭	0.34310001808645324	0.22047386507505878	0.436426116838488
😘	0.7543138866064092	0.19254998630512188	0.05313612708846891
😊	0.7036688617121355	0.2367513327061775	0.05957980558168705
👌	0.657103825136612	0.2489754098360656	0.0939207650273224
💕	0.6737411568872244	0.2846441947565543	0.04161464835622139
👏	0.6241983753740915	0.271483539974348	0.10431808465156049
😁	0.5766423357664233	0.2960766423357664	0.1272810218978102
☺	0.7196125907990315	0.2179176755447942	0.06246973365617434
♡	0.7209302325581395	0.2269969666329626	0.052072800808897875
👍	0.6365105008077544	0.24824986537425955	0.11523963381798599
😩	0.22308117062396465	0.1860850358917725	0.5908337934842628
🙏	0.4980544747081712	0.42088197146562906	0.08106355382619974
✌	0.5764476252439817	0.3103448275862069	0.11320754716981132
😏	0.4439344262295082	0.4439344262295082	0.1121311475409836
😉	0.562992125984252	0.33727034120734906	0.09973753280839895
🙌	0.660702451954937	0.2379058979456594	0.10139165009940358
🙈	0.5956134338588074	0.24057573680603153	0.16381082933516106
💪	0.626770538243626	0.3009915014164306	0.07223796033994334
😄	0.5581727337615988	0.3047822983583155	0.13704496788008566
😒	0.21685878962536023	0.19236311239193082	0.590778097982709
💃	0.7787676317743133	0.17668893838158872	0.044543429844097995
💖	0.7551342812006319	0.2014218009478673	0.04344391785150079
😃	0.6286186931348222	0.29942100909842845	0.07196029776674938
😔	0.31788079470198677	0.2185430463576159	0.46357615894039733
😱	0.45366284201235657	0.2824360105913504	0.263901147396293
🎉	0.776595744680851	0.18439716312056736	0.03900709219858156
😜	0.5664739884393064	0.3217726396917148	0.11175337186897881
☯	0.007035175879396985	0.9869346733668342	0.006030150753768844
🌸	0.690200210748156	0.2697576396206533	0.040042149631190724
💜	0.6985138004246284	0.25690021231422505	0.044585987261146494
💙	0.7628415300546448	0.20437158469945355	0.03278688524590164
✨	0.40305522914218567	0.54524089306698	0.05170387779083431
😳	0.3451118963486455	0.32744405182567726	0.32744405182567726
💗	0.7079856972586412	0.24076281287246723	0.05125148986889154
★	0.3140794223826715	0.6546329723225031	0.031287605294825514
█	0.05742821473158552	0.8526841448189763	0.0898876404494382
☀	0.49302915082382764	0.4790874524714829	0.02788339670468948
😡	0.15520181921546333	0.046617396247868106	0.7981807845366685
😎	0.5970937912813739	0.29722589167767505	0.10568031704095113
😢	0.39095744680851063	0.2247340425531915	0.38430851063829785
💋	0.7299864314789688	0.23066485753052918	0.03934871099050204
😋	0.6770691994572592	0.276797829036635	0.04613297150610583
🙊	0.5934065934065934	0.27197802197802196	0.1346153846153846
😴	0.34119278779472956	0.23717059639389737	0.42163661581137307
🎶	0.6335227272727273	0.26988636363636365	0.09659090909090909
💞	0.7797101449275362	0.17971014492753623	0.04057971014492753
😌	0.6227544910179641	0.23652694610778444	0.1407185628742515
🔥	0.26299694189602446	0.6131498470948012	0.12385321100917432
💯	0.4015625	0.3171875	0.28125
🔫	0.2981878088962109	0.20922570016474465	0.4925864909390445
💛	0.7520661157024794	0.2049586776859504	0.04297520661157025
💁	0.5181159420289855	0.2898550724637681	0.19202898550724637
💚	0.7333333333333333	0.18888888888888888	0.07777777777777778
♫	0.35074626865671643	0.585820895522388	0.06343283582089553
😞	0.36074766355140186	0.16074766355140188	0.4785046728971963
