word	positive	neutral	negative
4Head	0.59	0.21	0.20
:(	0.11	0.16	0.73
:)	0.81	0.13	0.06
:D	0.91	0.04	0.05
:O	0.16	0.68	0.16
:P	0.43	0.48	0.10
:o	0.20	0.66	0.14
:p	0.34	0.59	0.07
;)	0.64	0.29	0.08
<3	0.95	0.04	0.01
ANELE	0.10	0.41	0.49
AYAYA	0.63	0.27	0.10
BabyRage	0.17	0.22	0.61
BibleThump	0.22	0.19	0.59
BlessRNG	0.75	0.23	0.02
BloodTrail	0.54	0.37	0.09
BrokeBack	0.20	0.34	0.46
Clap	0.72	0.23	0.05
CoolCat	0.76	0.19	0.05
CoolStoryBob	0.38	0.40	0.21
CurseLit	0.37	0.51	0.11
D:	0.13	0.28	0.60
DansGame	0.16	0.22	0.62
DoritosChip	0.23	0.56	0.21
EZ	0.66	0.26	0.08
EleGiggle	0.54	0.34	0.12
FailFish	0.15	0.10	0.74
FeelsBadMan	0.18	0.16	0.66
FeelsGoodMan	0.92	0.07	0.01
FortOne	0.39	0.39	0.22
FrankerZ	0.46	0.49	0.04
GOWKratos	0.23	0.63	0.14
GachiPls	0.33	0.44	0.23
GivePLZ	0.69	0.27	0.04
HYPERBRUH	0.21	0.27	0.52
HYPERS	0.68	0.23	0.09
HeyGuys	0.71	0.22	0.07
Jebaited	0.42	0.30	0.28
KAPOW	0.42	0.51	0.07
KKona	0.26	0.49	0.26
Kappa	0.42	0.51	0.07
KappaHD	0.54	0.37	0.09
KappaPride	0.57	0.37	0.07
Keepo	0.48	0.45	0.08
KonCha	0.57	0.31	0.12
Kreygasm	0.86	0.10	0.05
LUL	0.68	0.22	0.10
LULW	0.62	0.22	0.16
MercyWing1	0.31	0.56	0.14
MercyWing2	0.28	0.60	0.12
MingLee	0.42	0.40	0.19
MrDestructoid	0.21	0.63	0.16
NaM	0.17	0.68	0.15
NotLikeThis	0.16	0.18	0.65
OMEGALUL	0.59	0.25	0.16
OhMyDog	0.56	0.35	0.09
OpieOP	0.37	0.39	0.24
PJSalt	0.18	0.13	0.69
POGGERS	0.84	0.12	0.04
PepeHands	0.17	0.17	0.67
PepePls	0.52	0.25	0.23
PepoDance	0.36	0.47	0.16
Pog	0.74	0.21	0.05
PogChamp	0.96	0.03	0.01
PowerUpL	0.56	0.39	0.05
PowerUpR	0.51	0.47	0.02
PunOko	0.05	0.44	0.51
PurpleStar	0.22	0.67	0.11
RIP	0.09	0.32	0.59
RedCoat	0.07	0.84	0.09
ResidentSleeper	0.18	0.22	0.60
SMOrc	0.26	0.47	0.27
SeemsGood	0.83	0.14	0.03
SeriousSloth	0.33	0.51	0.16
SourPls	0.56	0.23	0.21
Squid2	0.24	0.67	0.09
Squid4	0.22	0.67	0.10
SwiftRage	0.21	0.32	0.47
TakeNRG	0.76	0.21	0.03
TheIlluminati	0.20	0.64	0.16
TriHard	0.29	0.36	0.35
TwitchLit	0.49	0.42	0.09
TwitchUnity	0.68	0.23	0.08
VoHiYo	0.63	0.27	0.10
VoteNay	0.13	0.33	0.54
VoteYea	0.70	0.25	0.05
WutFace	0.19	0.17	0.64
bleedPurple	0.35	0.49	0.16
cheer100	0.62	0.25	0.13
cmonBruh	0.16	0.23	0.61
forsenPls	0.30	0.46	0.23
gachiBASS	0.54	0.30	0.16
haHAA	0.24	0.23	0.54
jinnytHype	0.31	0.56	0.13
lfsH	0.41	0.48	0.11
mcaT	0.21	0.61	0.18
monkaS	0.17	0.57	0.26
moon2A	0.07	0.31	0.61
ninjaPon	0.36	0.51	0.14
sumSmash	0.18	0.48	0.34
